order_id,order_date,ship_date,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,shipping_cost,order_priority,year,delivery_days,profit_status,month
AG-2011-2040,2011-01-01,2011-01-06,Standard Class,toby braunhardt,consumer,constantine,algeria,africa,africa,OFF-TEN-10000025,office supplies,storage,"tenex lockers, blue",408,2,0.0,106.14,35.46,medium,2011,5,profit,January
IN-2011-47883,2011-01-01,2011-01-08,Standard Class,joseph holt,consumer,new south wales,australia,apac,oceania,OFF-SU-10000618,office supplies,supplies,"acme trimmer, high speed",120,3,0.1,36.036,9.72,medium,2011,7,profit,January
HU-2011-1220,2011-01-01,2011-01-05,Second Class,annie thurman,consumer,budapest,hungary,emea,emea,OFF-TEN-10001585,office supplies,storage,"tenex box, single width",66,4,0.0,29.64,8.17,high,2011,4,profit,January
IT-2011-3647632,2011-01-01,2011-01-05,Second Class,eugene moren,home office,stockholm,sweden,eu,north,OFF-PA-10001492,office supplies,paper,"enermax note cards, premium",45,3,0.5,-26.055,4.82,high,2011,4,loss,January
IN-2011-47883,2011-01-01,2011-01-08,Standard Class,joseph holt,consumer,new south wales,australia,apac,oceania,FUR-FU-10003447,furniture,furnishings,"eldon light bulb, duo pack",114,5,0.1,37.77,4.7,medium,2011,7,profit,January
IN-2011-47883,2011-01-01,2011-01-08,Standard Class,joseph holt,consumer,new south wales,australia,apac,oceania,OFF-PA-10001968,office supplies,paper,"eaton computer printout paper, 8.5 x 11",55,2,0.1,15.342,1.8,medium,2011,7,profit,January
CA-2011-1510,2011-01-02,2011-01-06,Standard Class,magdelene morse,consumer,ontario,canada,canada,canada,TEC-OKI-10002750,technology,machines,"okidata inkjet, wireless",314,1,0.0,3.12,24.1,medium,2011,4,profit,January
IN-2011-79397,2011-01-03,2011-01-03,Same Day,kean nguyen,corporate,new south wales,australia,apac,oceania,OFF-AP-10000304,office supplies,appliances,"hoover microwave, white",276,1,0.1,110.412,125.32,critical,2011,0,profit,January
ID-2011-80230,2011-01-03,2011-01-09,Standard Class,ken lonsdale,consumer,auckland,new zealand,apac,oceania,TEC-CO-10004182,technology,copiers,"hewlett wireless fax, laser",912,4,0.4,-319.464,107.1,low,2011,6,loss,January
IZ-2011-4680,2011-01-03,2011-01-07,Standard Class,lindsay williams,corporate,ninawa,iraq,emea,emea,FUR-NOV-10002791,furniture,chairs,"novimex swivel stool, set of two",667,4,0.0,253.32,81.26,high,2011,4,profit,January
IN-2011-65159,2011-01-03,2011-01-07,Second Class,larry blacks,consumer,national capital,philippines,apac,southeast asia,OFF-ST-10003020,office supplies,storage,"tenex lockers, industrial",338,3,0.45,-122.8005,33.75,high,2011,4,loss,January
IN-2011-65159,2011-01-03,2011-01-07,Second Class,larry blacks,consumer,national capital,philippines,apac,southeast asia,FUR-TA-10002797,furniture,tables,"chromcraft round table, adjustable height",211,1,0.55,-70.3995,21.32,high,2011,4,loss,January
ES-2011-4869686,2011-01-03,2011-01-07,Standard Class,dorothy dickinson,consumer,england,united kingdom,eu,north,FUR-BO-10000728,furniture,bookcases,"dania corner shelving, traditional",854,7,0.0,290.43,12.56,medium,2011,4,profit,January
IN-2011-33652,2011-01-03,2011-01-09,Standard Class,dennis pardue,home office,sarawak,malaysia,apac,southeast asia,TEC-CO-10000594,technology,copiers,"hewlett fax and copier, laser",193,1,0.0,50.13,10.4,medium,2011,6,profit,January
ID-2011-80230,2011-01-03,2011-01-09,Standard Class,ken lonsdale,consumer,auckland,new zealand,apac,oceania,FUR-CH-10000214,furniture,chairs,"hon rocking chair, set of two",159,2,0.4,-95.676,10.07,low,2011,6,loss,January
MX-2011-160234,2011-01-03,2011-01-07,Standard Class,stewart visinsky,consumer,guatemala,guatemala,latam,central,TEC-PH-10002647,technology,phones,"nokia headset, voip",195,4,0.0,44.88,8.43,medium,2011,4,profit,January
IR-2011-770,2011-01-03,2011-01-07,Standard Class,jas o'carroll,consumer,yazd,iran,emea,emea,OFF-BRE-10003081,office supplies,appliances,"breville coffee grinder, black",123,2,0.0,42.9,8.41,medium,2011,4,profit,January
ID-2011-80230,2011-01-03,2011-01-09,Standard Class,ken lonsdale,consumer,auckland,new zealand,apac,oceania,TEC-AC-10002881,technology,accessories,"belkin numeric keypad, bluetooth",69,2,0.4,3.42,8.34,low,2011,6,profit,January
ID-2011-80230,2011-01-03,2011-01-09,Standard Class,ken lonsdale,consumer,auckland,new zealand,apac,oceania,FUR-CH-10000666,furniture,chairs,"safco chairmat, black",69,2,0.4,-26.412,8.17,low,2011,6,loss,January
ID-2011-12596,2011-01-03,2011-01-08,Standard Class,chris mcafee,consumer,nakhon ratchasima,thailand,apac,southeast asia,OFF-ST-10002066,office supplies,storage,"smead file cart, blue",135,2,0.47,-45.9018,7.74,medium,2011,5,loss,January
IN-2011-79397,2011-01-03,2011-01-03,Same Day,kean nguyen,corporate,new south wales,australia,apac,oceania,OFF-LA-10003396,office supplies,labels,"avery color coded labels, laser printer compatible",36,3,0.1,4.743,7.46,critical,2011,0,profit,January
IR-2011-7690,2011-01-03,2011-01-08,Second Class,nat gilpin,corporate,razavi khorasan,iran,emea,emea,OFF-BIC-10000582,office supplies,art,"bic sketch pad, water color",52,1,0.0,7.77,5.91,high,2011,5,profit,January
IR-2011-770,2011-01-03,2011-01-07,Standard Class,jas o'carroll,consumer,yazd,iran,emea,emea,OFF-ROG-10004393,office supplies,storage,"rogers folders, industrial",62,2,0.0,8.7,5.16,medium,2011,4,profit,January
TZ-2011-7370,2011-01-03,2011-01-08,Standard Class,jack garza,consumer,dar es salaam,tanzania,africa,africa,OFF-STI-10000388,office supplies,supplies,"stiletto scissors, serrated",81,4,0.0,26.76,5.11,medium,2011,5,profit,January
IZ-2011-4680,2011-01-03,2011-01-07,Standard Class,lindsay williams,corporate,ninawa,iraq,emea,emea,OFF-CAM-10004338,office supplies,envelopes,"cameo interoffice envelope, set of 50",47,1,0.0,17.07,3.57,high,2011,4,profit,January
IN-2011-65159,2011-01-03,2011-01-07,Second Class,larry blacks,consumer,national capital,philippines,apac,southeast asia,OFF-FA-10002569,office supplies,fasteners,"stockwell staples, metal",6,1,0.45,0.546,0.8,high,2011,4,profit,January
IR-2011-770,2011-01-03,2011-01-07,Standard Class,jas o'carroll,consumer,yazd,iran,emea,emea,OFF-ADV-10000213,office supplies,fasteners,"advantus rubber bands, metal",17,1,0.0,4.17,0.54,medium,2011,4,profit,January
MX-2011-111255,2011-01-04,2011-01-09,Second Class,russell applegate,consumer,parana,brazil,latam,south,FUR-BO-10001498,furniture,bookcases,"dania classic bookcase, pine","1,648",6,0.0,609.84,109.13,medium,2011,5,profit,January
MX-2011-140641,2011-01-04,2011-01-09,Standard Class,maya herman,corporate,yucatán,mexico,latam,north,TEC-AC-10001082,technology,accessories,"enermax keyboard, bluetooth",223,4,0.0,13.28,42.28,high,2011,5,profit,January
MX-2011-158771,2011-01-04,2011-01-11,Standard Class,beth thompson,home office,granma,cuba,latam,caribbean,OFF-EN-10000857,office supplies,envelopes,"jiffy interoffice envelope, set of 50",186,6,0.0,3.6,16.39,medium,2011,7,profit,January
ES-2011-4939443,2011-01-04,2011-01-08,Standard Class,arthur prichep,consumer,rhône-alpes,france,eu,central,OFF-AR-10001546,office supplies,art,"binney & smith sketch pad, easy-erase",140,3,0.0,20.88,10.78,medium,2011,4,profit,January
MX-2011-111255,2011-01-04,2011-01-09,Second Class,russell applegate,consumer,parana,brazil,latam,south,OFF-SU-10003629,office supplies,supplies,"fiskars letter opener, easy grip",149,8,0.0,28.16,10.38,medium,2011,5,profit,January
MX-2011-140641,2011-01-04,2011-01-09,Standard Class,maya herman,corporate,yucatán,mexico,latam,north,TEC-CO-10002998,technology,copiers,"sharp ink, laser",166,2,0.002,49.42824,9.54,high,2011,5,profit,January
US-2011-136007,2011-01-04,2011-01-11,Standard Class,beth thompson,home office,alagoas,brazil,latam,south,OFF-EN-10004956,office supplies,envelopes,"jiffy interoffice envelope, set of 50",74,6,0.6,-107.856,7.04,medium,2011,7,loss,January
MX-2011-159373,2011-01-04,2011-01-08,Standard Class,arthur wiediger,home office,santiago de cuba,cuba,latam,caribbean,FUR-CH-10004827,furniture,chairs,"safco chairmat, black",38,1,0.0,6.88,4.25,medium,2011,4,profit,January
MX-2011-159373,2011-01-04,2011-01-08,Standard Class,arthur wiediger,home office,santiago de cuba,cuba,latam,caribbean,TEC-AC-10003081,technology,accessories,"memorex mouse, usb",38,2,0.0,2.24,3.94,medium,2011,4,profit,January
MX-2011-159373,2011-01-04,2011-01-08,Standard Class,arthur wiediger,home office,santiago de cuba,cuba,latam,caribbean,OFF-EN-10002816,office supplies,envelopes,"kraft peel and seal, recycled",39,3,0.0,7.68,3.51,medium,2011,4,profit,January
